date,price
2019년 07월 02일,1164.465
2019년 07월 01일,1156.88
2019년 06월 28일,1156.45
2019년 06월 27일,1156.04
2019년 06월 26일,1156.305
2019년 06월 25일,1154.975
2019년 06월 24일,1157.705
2019년 06월 21일,1160.74
2019년 06월 20일,1165.045
2019년 06월 19일,1175.155
2019년 06월 18일,1180.725
2019년 06월 17일,1186.48
2019년 06월 14일,1185.015
2019년 06월 13일,1184.455
2019년 06월 12일,1181.635
2019년 06월 11일,1182.145
2019년 06월 10일,1184.045
2019년 06월 07일,1182.055
2019년 06월 06일,1180.23
2019년 06월 05일,1178.435
2019년 06월 04일,1181.02
2019년 06월 03일,1184.74
2019년 05월 31일,1190.91
2019년 05월 30일,1191.075
2019년 05월 29일,1191.985
2019년 05월 28일,1186.6
2019년 05월 27일,1184.74
2019년 05월 24일,1188.395
2019년 05월 23일,1191.34
2019년 05월 22일,1192.47
2019년 05월 21일,1194.025
2019년 05월 20일,1193.2
2019년 05월 17일,1192.735
2019년 05월 16일,1189.955
2019년 05월 15일,1189.005
2019년 05월 14일,1187.32
2019년 05월 13일,1182.975
2019년 05월 10일,1178.425
2019년 05월 09일,1178.565
2019년 05월 08일,1170.68
2019년 05월 07일,1170.175
2019년 05월 06일,1169.325
2019년 05월 03일,1168
2019년 05월 02일,1164.55
2019년 05월 01일,1163.28
2019년 04월 30일,1164.165
2019년 04월 29일,1159.14
2019년 04월 26일,1159.5
2019년 04월 25일,1160.935
2019년 04월 24일,1150.345
2019년 04월 23일,1142.185
2019년 04월 22일,1139.295
2019년 04월 19일,1136.765
2019년 04월 18일,1135.245
2019년 04월 17일,1134.78
2019년 04월 16일,1136.04
2019년 04월 15일,1133.97
2019년 04월 12일,1137.8
2019년 04월 11일,1139.735
2019년 04월 10일,1140.58
2019년 04월 09일,1141.475
2019년 04월 08일,1141.505
2019년 04월 05일,1136.975
2019년 04월 04일,1136.03
2019년 04월 03일,1135.485
2019년 04월 02일,1135.455
2019년 04월 01일,1134.69
2019년 03월 29일,1136.995
2019년 03월 28일,1137.96
2019년 03월 27일,1136.895
2019년 03월 26일,1133.725
2019년 03월 25일,1134.65
2019년 03월 22일,1133.335
2019년 03월 21일,1127.69
2019년 03월 20일,1128.3
2019년 03월 19일,1131.45
2019년 03월 18일,1134.215
2019년 03월 15일,1136.38
2019년 03월 14일,1133.845
2019년 03월 13일,1131.08
2019년 03월 12일,1130.045
2019년 03월 11일,1134.25
2019년 03월 08일,1135.095
2019년 03월 07일,1131.35
2019년 03월 06일,1128.135
2019년 03월 05일,1127.38
2019년 03월 04일,1126.055
2019년 03월 01일,1126.16
2019년 02월 28일,1121.935
2019년 02월 27일,1117.905
2019년 02월 26일,1117.43
2019년 02월 25일,1119.905
2019년 02월 22일,1124.45
2019년 02월 21일,1124.725
2019년 02월 20일,1123.02
2019년 02월 19일,1126.01
2019년 02월 18일,1125.515
2019년 02월 15일,1128.285
2019년 02월 14일,1126.69
2019년 02월 13일,1123.05
2019년 02월 12일,1124.485
2019년 02월 11일,1125.27
2019년 02월 08일,1124.61
2019년 02월 07일,1123.825
2019년 02월 06일,1119.795
2019년 02월 05일,1119.605
2019년 02월 04일,1120.895
2019년 02월 01일,1115.955
2019년 01월 31일,1112.085
2019년 01월 30일,1114.57
2019년 01월 29일,1119.4
2019년 01월 28일,1118.065
2019년 01월 25일,1123.56
2019년 01월 24일,1128.585
2019년 01월 23일,1129.285
2019년 01월 22일,1131.59
2019년 01월 21일,1129.45
2019년 01월 18일,1123.72
2019년 01월 17일,1122.58
2019년 01월 16일,1122
2019년 01월 15일,1122.055
2019년 01월 14일,1121.61
2019년 01월 11일,1117.01
2019년 01월 10일,1119.685
2019년 01월 09일,1121.34
2019년 01월 08일,1121.85
2019년 01월 07일,1118.17
2019년 01월 04일,1122.31
2019년 01월 03일,1125.125
2019년 01월 02일,1118.305
2019년 01월 01일,1113.82
2018년 12월 31일,1114.25
2018년 12월 28일,1118.11
2018년 12월 27일,1121.78
2018년 12월 26일,1125.095
2018년 12월 25일,1125.01
2018년 12월 24일,1126.805
2018년 12월 21일,1124.885
2018년 12월 20일,1126.375
2018년 12월 19일,1125.605
2018년 12월 18일,1129.65
2018년 12월 17일,1131.45
2018년 12월 14일,1130.245
2018년 12월 13일,1124.455
2018년 12월 12일,1127
2018년 12월 11일,1129.55
2018년 12월 10일,1126.96
2018년 12월 07일,1121.55
2018년 12월 06일,1118.1
2018년 12월 05일,1113.9
2018년 12월 04일,1109.55
2018년 12월 03일,1114.635
2018년 11월 30일,1120.635
2018년 11월 29일,1120.845
2018년 11월 28일,1127.51
2018년 11월 27일,1129.665
2018년 11월 26일,1130.55
2018년 11월 23일,1131.62
2018년 11월 22일,1130.3
2018년 11월 21일,1130.905
2018년 11월 20일,1128.585
2018년 11월 19일,1126.26
2018년 11월 16일,1126.455
2018년 11월 15일,1129.87
2018년 11월 14일,1133.655
2018년 11월 13일,1135.26
2018년 11월 12일,1135.4
2018년 11월 09일,1126.55
2018년 11월 08일,1118.65
2018년 11월 07일,1121.1
2018년 11월 06일,1122.915
2018년 11월 05일,1121.36
2018년 11월 02일,1120.7
2018년 11월 01일,1132.055
2018년 10월 31일,1140.68
2018년 10월 30일,1141.1
2018년 10월 29일,1140.94
2018년 10월 26일,1140.665
2018년 10월 25일,1138.025
2018년 10월 24일,1135.015
